Name,ram,processor,front_camera,rear_camera_1,rear_camera_2,rear_camera_3,rear_camera_4,rear_camera_Specific,battery_capacity,os,comp_os,resolution,height,width,depth,weight,refresh rate,screen size (inch),int_storage,call func,step_count,calorie count,heart Monitor,headphones,fingerprint_sensors,Price
Samsung Galaxy Watch 4 (44mm),1.5,Exynos W920,0,0,0,0,0,None,361,none,Android,202500,43.3,44.4,9.8,30.3,60,1.4,16,yes,Yes,Yes,Yes,0,No,10990
Amazfit GTS 2,-,"Dialog DA14697 0.1 GHz, Cortex M33F, Cortex M0+",0,0,0,0,0,None,220,none,"Android, iOS",153816,42.8,35.6,9.7,24.7,-,1.65,3,yes,Yes,Yes,Yes,0,No,8999
Samsung Gear S2 Smartwatch,0.512,Exynos 3250,0,0,0,0,0,None,250,none,Android,129600,49.8,42.3,11.4,47,-,1.2,4,Yes,yes,yes,yes,0,No,7999
Amazfit GTS 3,-,-,0,0,0,0,0,None,250,none,"Android, iOS",175500,36,42.4,8.8,24.4,30,1.75,0,yes,Yes,Yes,Yes,0,No,9999
Samsung Galaxy Smartwatch,-,Exynos 9110 Dual Core Processor,0,0,0,0,0,None,247,none,Android & iOS,129600, 49,46,13,49,60,1.2,4,No,Yes,Yes,Yes,0,No,10999
Amazfit Pace Smartwatch,0.512,1.2 GHz Core,0,0,0,0,0,None,280,none,"Android, iOS",96000,45.72,45.72,12.7,53.7,55.53,1.339,4,No,Yes,Yes,Yes,0,No,10999
Amazfit GTR 3,-,-,0,0,0,0,0,None,450,none,"Android, iOS",206116,45.8,45.8,10.8,42,30,1.39,2.3,yes,Yes,Yes,Yes,0,No,13999
Motorola Moto 360 Gen 2 Smartwatch,0.512,Qualcomm Snapdragon 400 APQ8026,0,0,0,0,0,None,400,none,"Android 4.3+, iOS 8.2+",118800,42,42,11.4,-,-,1.56,4,No,yes,yes,Yes,0,No,7999
Fossil Q Explorist Smartwatch,4,Snapdragon Wear 2100,0,0,0,0,0,None,370,none,Android & iOS,102400,46,46,12.5,166,-,-,0.512,Yes,yes,Yes,No,0,No,9997
Amazfit T-Rex Pro,0.512,-,0,0,0,0,0,None,390,none,"iOS, Android",115200,47.7,47.7,13.5,59.4,55,1.3,0.512,no,Yes,Yes,Yes,0,No,12999
Realme Watch S Pro,-,ARM Cortex M4,0,0,0,0,0,None,420,none,"Android, iOS",206116,46,257.6,11.1,63.5,30,1.39,0,No,Yes,yes,Yes,0,No,9999
Oppo Watch (41mm),1,"Qualcomm Snapdragon Wear 3100, Ambiq Micro Apollo3 Wireless",0,0,0,0,0,None,300,none,"Android, iOS",115200,36.37,41.45,11.4,30.1,-,1.91,8,Yes,Yes,Yes,Yes,0,No,14990
Infinix Note 30 5G,4,Mediatek Dimensity 6080,16,108,2,0,0, AI,5000,Android 13,Android,2656800,168.62,76.5,8.45,204.7,120,6.78,128,Yes,No,No,No,3.5,Yes,14999
Moto G13,4,MediaTek Helio G85,8,50,2,2,0,None,5000,Android 13,Android,1152000,162.7,74.66,8.19,183.45,90,6.5,64,Yes,No,No,No,3.5,Yes,9999
Xiaomi Redmi 9 (Global),3,MediaTek Helio G80,8,13,8,5,2,None,5020,Android 10,Android,2527200,163.32,77.01,9.01,198,60,6.53,32,Yes,No,No,No,3.5,Yes,8999
Tecno Spark 10 5G,4,Mediatek Dimensity 6020,8,50,0,0,0,None,5000,Android 13,Android,1232640,164.37,75.45,8.4,193,90,6.6,64,Yes,No,No,No,3.5,Yes,15000
Realme 8i,4,MediaTek Helio G96,16,50,2,2,0,None,5000,Android 11,Android,2604960,164.1,75.5,8.5,194,120,6.6,64,Yes,No,No,No,3.5,Yes,14000
Oppo A15,3,MediaTek Helio P35 (MT6765),5,13,2,2,0,None,4230,Android 10,Android,1152000,164,75,8,175,60,6.52,32,Yes,No,No,No,3.5,Yes,10999
Realme C35,4,Unisoc T616,8,50,2,2,0,None,5000,Android 11,Android,2600640,164.4,75.6,8.1,189,60,6.6,64,Yes,No,No,No,3.5,Yes,9699
Samsung Galaxy A12 (Exynos),4,Samsung Exynos 850,8,48,5,2,2,None,5000,Android 11,Android,1152000,164,75.8,8.9,205,60,6.5,64,Yes,No,No,No,3.5,Yes,13999
Realme C12,3,MediaTek Helio G35,5,13,2,2,0,None,6000,Android 10,Android,1152000,164.5,75.9,9.8,209,120,6.5,32,Yes,No,No,No,3.5,Yes,10999
Tecno Camon 20,8,MediaTek Helio G85,32,64,2,0,0, QVGA,5000,Android 13,Android,2592000,162.71,75.89,7.82,190,60,6.67,256,Yes,No,No,No,3.5,yes,14999
Xiaomi Redmi Note 12 4G,6,Snapdragon 685 processor,13,50,8,2,0,None,5000,Android 13,Android,2592000,165.66,75.96,7.85,183.5,120,6.67,64,Yes,No,No,No,3.5,Yes,14999
iQOO Z6 Lite 5G,6,Snapdragon 4 Gen 1 Processor,8,50,2,0,0,None,5000,Android 12,Android,-,164,75.8,8.3,194,120,6.58,128,Yes,No,No,No,0,yes,13999
Poco C55,4,MediaTek Helio G85,5,50,,0,0,None,5000,Android 12,Android,1188000,168.8,76.4,8.8,192,60,6.71,64,Yes,No,No,No,3.5,Yes,7749
Vivo T1 44W,4,Qualcomm Snapdragon 680,16,50,2,2,0,None,5000,Android 12,Android,2592000,160.8,73.79,8.42,182,60,6.44,128,Yes,No,No,No,3.5,yes,14499
Infinix Hot 20 5G,4,MediaTek Dimensity 810,8,50,2,0,0,None,5000,Android 12,Android,-,166.3,76.5,8.9,204,120,6.6,64,Yes,No,No,No,3.5,Yes,11499
Samsung Galaxy F23 5G,4,Qualcomm Snapdragon 750G,8,50,8,2,0,None,5000,Android 12,Android,2600640,165.5,77,8.4,198,120,6.6,128,Yes,No,No,No,3.5,Yes,14499
Vivo Y22 (2022),4,MediaTek Helio G70,8,50,2,0,0,None,5000,Android 12,Android,1160640,164.3,76,8.38,190,60,6.55,64,Yes,No,No,No,3.5,Yes,14499
Realme Narzo 50,4,MediaTek Helio G96,16,50,2,2,0,None,5000,Android 11,Android,2592000,164.1,75.5,8.5,194,120,6.6,64,Yes,No,No,No,3.5,yes,11789
Poco M4 Pro 5G,4,MediaTek Dimensity 810,16,50,8,0,0,None,5000,Android 11,Android,2592000,163.56,75.78,8.75,195,90,6.6,64,Yes,No,No,No,3.5,Yes,14999
Nokia C32,2,Unisoc SC9863A1,8,50,2,0,0,None,5000,Android 13,Android,1152000,164.6,75.9,8.5,199.4,60,6.5,64,Yes,No,No,No,3.5,Yes,8999
Poco M5,4,Mediatek MT8781 Helio G99,8,50,2,2,0,None,5000,Android 12,Android,2592000,63.99,76.09,8.9,201,60,6.58,64,Yes,No,No,No,3.5,yes,8999
Vivo Y20A,3,Qualcomm Snapdragon 439,8,13,2,2,0,None,5000,Android 11,Android,1152000,164.41,76.32,8.41,192,120,6.51,64,Yes,No,No,No,3.5,Yes,12990
Lava Blaze 5G,4,MediaTek Dimensity 700,8,50,2,0.3,0,None,5000,Android 12,Android,1152000,165.3,76.4,8.9,207,90,6.51,128,Yes,No,No,No,3.5,Yes,10999
Realme 9i 5G,4,MediaTek Dimensity 810,8,50,0,0,0,None,5000,Android 12,Android,2592000,164.4,75.1,8.1,187,90,6.6,64,Yes,No,No,No,3.5,Yes,13499
Realme 9i,4,Qualcomm Snapdragon 680,16,50,2,2,0,None,5000,Android 11,Android,2592000,164.4,75.7,8.44,190,90,6.6,64,Yes,No,No,No,3.5,Yes,14999
Realme C30,2,Unisoc T612,5,8,0,0,0,None,5000,Android 11 (Go edition),Android,1152000,164.1,75.6,8.5,182,60,6.5,32,Yes,No,No,No,3.5,yes,5999
