Name,ram,processor,front_camera,rear_camera_1,rear_camera_2,rear_camera_3,rear_camera_4,rear_camera_Specific,battery_capacity,os,comp_os,resolution,height,width,depth,weight,refresh rate,screen size (inch),int_storage,call func,step_count,calorie count,heart Monitor,headphones,fingerprint_sensors,Price
Xiaomi Redmi Y2,3,Qualcomm Snapdragon 625,5,16,0,0,0,None,3080,ANDROID 8.1 OREO,Android,1036800,160.73,77.26,8.1,170,60,5.99,32,Yes,No,No,No,3.5,Yes,9999
Vivo Y15C,3,MEDIATEK HELIO P35 (MT6765),8,13,2,0,0,None,5000,ANDROID 12 GO EDITION,Android,1152000,164.4,75.7,8.38,179,60,6.51,32,Yes,No,No,No,3.5,Yes,9499
Realme C20,2,MEDIATEK HELIO P22T,5,8,0,0,0,None,5000,ANDROID 10,Android,1152000,165.2,76.4,8.9,190,60,6.52,32,Yes,No,No,No,3.5,No,72900
Xiaomi Redmi 6A,2,MediaTek Helio A22,5,13,0,0,0,AI,3000,ANDROID 8.1 OREO,Android,1036800,147.46,71.49,8.3,145,60,5.45,32,Yes,No,No,No,3.5,No,7649
POCO C31,3,MediaTek Helio G35,5,5,0,0,0,None,5000,ANDROID 11,Android,1152000,164.9,77,9,196,60,6.53,32,Yes,No,No,No,3.5,Yes,8498
Xiaomi Redmi  9 Activ,4,MediaTek Helio G35,5,5,0,0,0,None,5000,ANDROID 11,Android,1152000,164.9,77.07,9,196,60,6.53,64,Yes,No,No,No,3.5,Yes,8999
Realme Narzo 50i,2,MediaTek Helio G85,8,8,0,0,0,None,6000,ANDROID 10,Android,1152000,164.5,75.9,9.8,209,60,6.51,2,Yes,No,No,No,3.5,Yes,6299
Realme C21Y,3,Unisoc T610,5,5,0,0,0,None,5000,ANDROID 10,Android,1152000,164.5,76,9.1,200,60,6.5,32,Yes,No,No,No,3.5,Yes,9499
Poco M5,4,Mediatek Helio G99,8,50,2,2,2.4,None,5000,ANDROID 12,Android,2592000,163.99,76.09,8.9,201,90,6.58,4,Yes,No,No,No,3.5,Yes,9675
Xiaomi Redmi A1,2,MediaTek Helio A22,5,8,0,0,0,None,3000,ANDROID 7.1,Android,1152000,164.9,76.75,9.09,192,60,6.52,16,Yes,No,No,No,3.5,No,5699
Vivo Y91,2,MEDIATEK HELIO P22T,5,8,0,0,0,None,4030,ANDROID 8.1 OREO,Android,1094400,155.1,75.55,8.25,163.5,60,6.22,16,Yes,No,No,No,3.5,Yes,9600
Xiaomi Redmi 9A Sport,2,MediaTek Helio G35,5,5,0,0,0,None,5000,ANDROID 11,Android,1152000,164.9,77,9,196,60,6.53,32,Yes,No,No,No,3.5,No,7499
Xiaomi Redmi 9A,2,MediaTek Helio G35,5,5,0,0,0,None,5000,ANDROID 10,Android,1152000,164.9,77.07,9,194,60,6.53,32,Yes,No,No,No,3.5,Yes,7740
