Name,ram,processor,front_camera,rear_camera_1,rear_camera_2,rear_camera_3,rear_camera_4,rear_camera_Specific,battery_capacity,os,comp_os,resolution,height,width,depth,weight,refresh rate,screen size (inch),int_storage,call func,step_count,calorie count,heart Monitor,headphones,fingerprint_sensors,Price
iBall Slide 3G-i80,1,Intel Atom Z3735F,2,5,0,0,0,None,4400,Android 4.4,Android,1024000,208,122,8.4,350,60,8,16,Yes,No,No,No,3.5,Yes,8999
Swipe Ace Strike,2,1.3GHz quad-core,2,5,0,0,0,None,4000,Android 5.1,Android,614400,203,122,8.4,340,60,6.98,16,Yes,No,No,No,3.5,Yes,6699
iBall Slide Stellar A2,1,1.7GHz octa-core,8,8,0,0,0,None,3000,Android 4.4,Android,1024000,200.1,120.8,8.6,340,60,7,8,Yes,No,No,No,3.5,Yes,6948
Acer Iconia Tab 8 W,1,quad-core,0,0,0,0,0,None,4600,Windows 8.1,Android,1024000,217,132,9.1,460,60,8,32,Yes,No,No,No,3.5,Yes,6999
iBall Slide Co-Mate,1,1.3GHz quad-core,2,5,0,0,0,None,4300,Android 5.1,Android,1024000,187,118,9.2,350,60,8,8,Yes,No,No,No,3.5,Yes,6999
Micromax Canvas Tabby,1,1.3GHz dual-core,0.3,2,0,0,0,None,3200,Android 4.4,Android,1024000,187,118,8.3,330,60,7,8,Yes,No,No,No,3.5,Yes,5499
iBall Slide O900-C,2,1.7GHz octa-core,5,5,0,0,0,None,4000,Android 4.4,Android,786432,202.5,120,8.5,340,60,7.85,16,Yes,No,No,No,3.5,Yes,5999
iBall Slide Bio-Mate,1,1.2GHz quad-core,2,5,0,0,0,None,4300,Android 5.1,Android,1024000,186,117,8.4,355,60,8,8,Yes,No,No,No,3.5,Yes,5700
Lenovo Tab M7,1,MediaTek MT8321,2,2,0,0,0,None,3500,Android Pie,Android,614400,176.33,102.85,8.25,236,60,7,8,Yes,No,No,No,3.5,Yes,9385
Lenovo Tab 2 A8 LTE,1,MediaTek MT8735,2,5,0,0,0,None,4290,Android 5.0,Android,921600,125,210,8.9,360,60,8,8,Yes,No,No,No,3.5,Yes,15000
iBall Slide 3G 7345Q-800,1,1.3GHz quad-core,2,5,0,0,0,None,3000,Android 4.2,Android,1024000,194,119,10,340,60,7,8,Yes,No,No,No,3.5,Yes,5999
Micromax Canvas Tab P690,1,Intel Atom Z3735G,2,5,0,0,0,None,4000,Android 4.4.4,Android,1024000,225,142,10,280,60,8,8,Yes,No,No,No,3.5,Yes,9999
Acer Iconia One 7,1,Intel Atom Z2560,0.3,2,0,0,0,None,3700,Android 4.2,Android,1024000,119,198,10.16,320,60,7,8,Yes,No,No,No,3.5,Yes,13500
HP Stream 8,1,Intel Atom Z3735G,2,5,0,0,0,None,4000,Windows 8.1,Android,1024000,123,209,8.89,350,60,8,32,Yes,No,No,No,3.5,Yes,11999
